dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
PNWAccelerometers,m4plus_strong_motion,catalog_p_fixed,3.0,76,20,26.31578947368421,0.9937716407351105,0.6641816629048005,0.4900472546983702,42.0
PNWAccelerometers,m4plus_strong_motion,energy_onset_fixed,0.2,76,9,11.842105263157894,1.0,0.034165863815983105,0.01971211580296152,42.0
PNWAccelerometers,m4plus_strong_motion,energy_onset_fixed,1.0,76,12,15.789473684210526,0.9999663385855802,0.1764452954509822,0.10038187350052036,42.0
PNWAccelerometers,m4plus_strong_motion,energy_onset_fixed,3.0,76,24,31.57894736842105,0.991341681400837,0.6582690714230639,0.576787180893944,42.0
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed,0.2,76,11,14.473684210526317,0.9999999999996703,0.034165863815983105,0.01971211580296152,42.0
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed,1.0,76,13,17.105263157894736,0.9999701201987401,0.13928155100764433,0.07860369207226671,42.0
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed,3.0,76,24,31.57894736842105,0.990845036613538,0.6530183736634187,0.404609998019486,42.0
PNWAccelerometers,m4plus_strong_motion,shortest_stable_no_catalog,0.2,76,0,0.0,1.0,0.9999999969961574,0.9999931034089048,42.0
PNWAccelerometers,m4plus_strong_motion,shortest_stable_no_catalog,1.0,76,0,0.0,0.9999998947491933,0.999398262232772,0.996801916701155,42.0
PNWAccelerometers,m4plus_strong_motion,shortest_stable_no_catalog,3.0,76,14,18.421052631578945,0.9973155253780712,0.8321915179009167,0.669427413518789,42.0
PNWAccelerometers,ALL,adaptive_energy_end,0.2,6107,1,0.016374652038644178,1.0,1.0,0.9999997668666492,140.23
PNWAccelerometers,ALL,adaptive_energy_end,1.0,6107,308,5.043392827902407,1.0,0.9494482280948173,0.8316498515767622,140.23
PNWAccelerometers,ALL,adaptive_energy_end,3.0,6107,835,13.67283445226789,1.0,0.8281393308659527,0.6094525564849055,140.23
PNWAccelerometers,ALL,catalog_p_fixed,0.2,6107,475,7.777959718355985,0.9999999998199216,0.8398751321742649,0.5321833842933716,42.0
PNWAccelerometers,ALL,catalog_p_fixed,1.0,6107,3775,61.81431144588178,0.8710711802091017,0.5059699690525526,0.36186765452557784,42.0
PNWAccelerometers,ALL,catalog_p_fixed,3.0,6107,4737,77.56672670705747,0.776177218022554,0.44432773381576024,0.31542933672148454,42.0
PNWAccelerometers,ALL,energy_onset_fixed,0.2,6107,5043,82.5773702308826,0.29433908811147824,0.03966859476227232,0.019311601591823803,42.0
PNWAccelerometers,ALL,energy_onset_fixed,1.0,6107,2790,45.68527918781726,0.9800681475962857,0.4192370464250547,0.19638155495017395,42.0
PNWAccelerometers,ALL,energy_onset_fixed,3.0,6107,2593,42.459472736204354,0.9897910320509082,0.5220641064182638,0.3662018526175753,42.0
PNWAccelerometers,ALL,feature_onset_fixed,0.2,6107,5052,82.72474209923038,0.29374479896921163,0.03952614405838466,0.019173462304945817,42.0
PNWAccelerometers,ALL,feature_onset_fixed,1.0,6107,2789,45.668904535778616,0.9803522923354827,0.4149411795458443,0.1943857961204871,42.0
PNWAccelerometers,ALL,feature_onset_fixed,3.0,6107,2584,42.31210086785656,0.9900029589652092,0.5189792948025563,0.3614930198570222,42.0
PNWAccelerometers,ALL,shortest_stable_no_catalog,0.2,6107,1,0.016374652038644178,1.0,1.0,0.9999997592096994,142.93
PNWAccelerometers,ALL,shortest_stable_no_catalog,1.0,6107,219,3.5860487964630754,1.0,0.9693500903286584,0.8698386077908782,142.93
PNWAccelerometers,ALL,shortest_stable_no_catalog,3.0,6107,582,9.530047486490913,1.0,0.8792725010221112,0.6258874611972827,142.93
ALL,ALL,adaptive_energy_end,0.2,6107,1,0.016374652038644178,1.0,1.0,0.9999997668666492,140.23
ALL,ALL,adaptive_energy_end,1.0,6107,308,5.043392827902407,1.0,0.9494482280948173,0.8316498515767622,140.23
ALL,ALL,adaptive_energy_end,3.0,6107,835,13.67283445226789,1.0,0.8281393308659527,0.6094525564849055,140.23
ALL,ALL,catalog_p_fixed,0.2,6107,475,7.777959718355985,0.9999999998199216,0.8398751321742649,0.5321833842933716,42.0
ALL,ALL,catalog_p_fixed,1.0,6107,3775,61.81431144588178,0.8710711802091017,0.5059699690525526,0.36186765452557784,42.0
ALL,ALL,catalog_p_fixed,3.0,6107,4737,77.56672670705747,0.776177218022554,0.44432773381576024,0.31542933672148454,42.0
ALL,ALL,energy_onset_fixed,0.2,6107,5043,82.5773702308826,0.29433908811147824,0.03966859476227232,0.019311601591823803,42.0
ALL,ALL,energy_onset_fixed,1.0,6107,2790,45.68527918781726,0.9800681475962857,0.4192370464250547,0.19638155495017395,42.0
ALL,ALL,energy_onset_fixed,3.0,6107,2593,42.459472736204354,0.9897910320509082,0.5220641064182638,0.3662018526175753,42.0
ALL,ALL,feature_onset_fixed,0.2,6107,5052,82.72474209923038,0.29374479896921163,0.03952614405838466,0.019173462304945817,42.0
ALL,ALL,feature_onset_fixed,1.0,6107,2789,45.668904535778616,0.9803522923354827,0.4149411795458443,0.1943857961204871,42.0
ALL,ALL,feature_onset_fixed,3.0,6107,2584,42.31210086785656,0.9900029589652092,0.5189792948025563,0.3614930198570222,42.0
ALL,ALL,shortest_stable_no_catalog,0.2,6107,1,0.016374652038644178,1.0,1.0,0.9999997592096994,142.93
ALL,ALL,shortest_stable_no_catalog,1.0,6107,219,3.5860487964630754,1.0,0.9693500903286584,0.8698386077908782,142.93
ALL,ALL,shortest_stable_no_catalog,3.0,6107,582,9.530047486490913,1.0,0.8792725010221112,0.6258874611972827,142.93
