dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
PNWAccelerometers,low_magnitude_background,5563,33.25543771346396,51.98633830666907,14.758223979866978,150.01,150.01
PNWAccelerometers,m3_to_m4_small_event,468,18.162393162393162,25.0,56.837606837606835,150.01,150.01
PNWAccelerometers,m4plus_strong_motion,76,30.263157894736842,22.36842105263158,47.368421052631575,120.42000000000002,150.01
PNWAccelerometers,ALL,6107,32.06156869166531,49.549697068937284,18.388734239397415,150.01,150.01
ALL,ALL,6107,32.06156869166531,49.549697068937284,18.388734239397415,150.01,150.01
