case_id,case_category,record_uid,dataset,priority_group,split,magnitude,case_rationale,failure_reason_baseline,selected_candidate_selected,selection_status_selected,window_duration_sec_baseline,window_duration_sec_selected,pga_retention_baseline,pga_retention_selected,energy_retention_baseline,energy_retention_selected,energy_gain,pga_gain,peak_time_sec_baseline,peak_inside_window_baseline,peak_inside_window_selected
case_01,instance_fixed_failure_rescued,InstanceGM:327031,InstanceGM,low_magnitude_background,dev,1.9,InstanceGM feature-onset fixed window fails product checks; shortest-stable selection restores retention.,"peak_outside,pga_loss,energy_loss",energy_onset_fixed,stable_candidate,42.0,42.0,0.0005401886635391,1.0,6.717865708632203e-06,0.999987734284477,0.9999810164187684,0.9994598113364609,49.6,False,True
case_02,instance_fixed_failure_rescued,InstanceGM:208045,InstanceGM,low_magnitude_background,train,2.1,InstanceGM feature-onset fixed window fails product checks; shortest-stable selection restores retention.,"peak_outside,pga_loss,energy_loss",energy_onset_fixed,stable_candidate,42.01,42.0,0.00119516801895,1.0,2.275968622179349e-05,0.9999585737690364,0.9999358140828146,0.99880483198105,46.29,False,True
case_03,knet_fixed_failure_rescued,K-NET:13561,K-NET,m4plus_strong_motion,train,8.0,K-NET rare fixed-window failure; shortest-stable selection restores retention under the same checks.,"peak_outside,pga_loss,energy_loss",energy_onset_fixed,stable_candidate,42.0,42.0,0.1517859380699015,1.0,0.0237593387849156,0.9796443296143502,0.9558849908294346,0.8482140619300985,59.69,False,True
case_04,knet_fixed_failure_rescued,K-NET:13569,K-NET,m4plus_strong_motion,train,8.0,K-NET rare fixed-window failure; shortest-stable selection restores retention under the same checks.,"peak_outside,pga_loss,energy_loss",energy_onset_fixed,stable_candidate,42.0,42.0,0.3096044284840673,1.0,0.0645715591083078,0.9874443179071198,0.922872758798812,0.6903955715159327,54.14,False,True
case_05,knet_compact_stable_window,K-NET:16611,K-NET,m3_to_m4_small_event,train,3.5,K-NET record where a compact selected window retains the product checks.,,feature_onset_to_energy_end,stable_candidate,42.0,6.59,1.0,1.0,0.9999700378337298,0.998521221754454,-0.0014488160792758276,0.0,15.27,True,True
case_06,knet_compact_stable_window,K-NET:10315,K-NET,low_magnitude_background,val,2.9,K-NET record where a compact selected window retains the product checks.,,feature_onset_to_energy_end,stable_candidate,42.0,6.51,1.0,1.0,0.9999986425883765,0.9975083673629848,-0.0024902752253916915,0.0,15.42,True,True
case_07,full_record_fallback_boundary,InstanceGM:1159122,InstanceGM,m4plus_strong_motion,dev,5.3,No shorter candidate passes the product checks; the selector uses the full record.,energy_loss,full_record,full_record_fallback,42.01,120.0,1.0,1.0,0.9085526175620958,1.0,0.09144738243790418,0.0,38.23,True,True
case_08,full_record_fallback_boundary,K-NET:17355,K-NET,m4plus_strong_motion,train,6.1,No shorter candidate passes the product checks; the selector uses the full record.,"peak_outside,pga_loss",full_record,full_record_fallback,42.0,60.0,0.942986887755962,1.0,0.95198962141631,1.0,0.04801037858368995,0.057013112244038044,59.98,False,True
