dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
PNWAccelerometers,low_magnitude_background,5563,38.989753730001794,47.42045658817185,13.589789681826353,150.01,150.01
PNWAccelerometers,m3_to_m4_small_event,468,26.282051282051285,23.717948717948715,50.0,150.01,150.01
PNWAccelerometers,m4plus_strong_motion,76,43.42105263157895,17.105263157894736,39.473684210526315,85.89,150.01
PNWAccelerometers,ALL,6107,38.07106598984771,45.226788930735225,16.702145079417065,150.01,150.01
ALL,ALL,6107,38.07106598984771,45.226788930735225,16.702145079417065,150.01,150.01
