dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
InstanceGM,low_magnitude_background,9000,60.78888888888889,29.96666666666667,9.244444444444444,108.69,116.68
InstanceGM,m3_to_m4_small_event,9000,73.27777777777777,21.922222222222224,4.8,72.91,107.06
InstanceGM,m4plus_strong_motion,5533,76.52268208928248,21.79649376468462,1.6808241460328937,68.42,101.06
K-NET,low_magnitude_background,21,9.523809523809524,23.809523809523807,66.66666666666666,60.0,60.0
K-NET,m3_to_m4_small_event,5647,30.334690986364443,16.964760049583848,52.700548964051706,60.0,119.0
K-NET,m4plus_strong_motion,15473,57.041297744458085,13.429845537387708,29.528856718154206,37.94,66.0
InstanceGM,ALL,23533,69.26443717333106,24.969192198189777,5.766370628479157,92.0,110.5
K-NET,ALL,21141,49.86046071614398,14.384371600208127,35.75516768364789,44.81,81.0
ALL,ALL,44674,60.08192684783096,19.960155795317185,19.95791735685186,60.0,110.23
