dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
InstanceGM,low_magnitude_background,300,66.0,24.0,10.0,108.115,114.82749999999999
InstanceGM,m3_to_m4_small_event,300,71.66666666666667,23.0,5.333333333333334,74.655,108.6925
InstanceGM,m4plus_strong_motion,300,77.0,22.0,1.0,65.73,97.865
K-NET,low_magnitude_background,21,4.761904761904762,19.047619047619047,76.19047619047619,60.0,60.0
K-NET,m3_to_m4_small_event,300,27.0,15.0,57.99999999999999,60.0,119.0
K-NET,m4plus_strong_motion,300,48.0,16.0,36.0,52.33,78.2175
InstanceGM,ALL,900,71.55555555555554,23.0,5.444444444444444,88.99,109.82249999999999
K-NET,ALL,621,36.39291465378422,15.619967793880837,47.987117552334944,60.0,119.0
ALL,ALL,1521,57.1992110453649,19.986850756081527,22.813938198553583,69.0,111.15
