dataset,priority_group,policy,records,unstable_records,unstable_pct,median_window_duration_sec,p25_window_duration_sec,p75_window_duration_sec,p05_energy_retention,median_energy_retention,p05_pga_retention,full_record_fallback_records,full_record_fallback_pct
PNWAccelerometers,ALL,feature_onset_fixed,6107,5286,86.55641067627313,42.0,40.94,42.0,0.03641481960899019,0.2020152303124753,0.03728729262948031,0,0.0
PNWAccelerometers,ALL,full_record,6107,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,ALL,shortest_stable_all,6107,0,0.0,142.37,111.18,147.005,0.9522998227380634,0.9658840438515216,1.0,1,0.016374652038644178
PNWAccelerometers,ALL,shortest_stable_no_catalog,6107,0,0.0,142.37,111.18,147.005,0.9519985224438756,0.9657614582164024,1.0,1,0.016374652038644178
ALL,ALL,adaptive_energy_end,6107,1205,19.731455706566237,137.87,91.595,145.09,0.9451642494811787,0.9619015186268896,1.0,0,0.0
ALL,ALL,arias_1_99_padded,6107,1,0.016374652038644178,150.01,150.01,150.01,0.98931896399761,1.0,1.0,0,0.0
ALL,ALL,catalog_p_fixed,6107,5120,83.83821843785819,42.0,42.0,42.0,0.2724731215542275,0.6190117217832953,0.6540753483772278,0,0.0
ALL,ALL,energy_first_then_adaptive,6107,0,0.0,143.99,132.765,149.32,0.9525241138771219,0.9689035845259976,1.0,1194,19.551334534141148
ALL,ALL,energy_onset_fixed,6107,5273,86.34354019977076,42.0,40.94,42.0,0.03680365757934738,0.2025053419990858,0.03750130645930759,0,0.0
ALL,ALL,feature_onset_fixed,6107,5286,86.55641067627313,42.0,40.94,42.0,0.03641481960899019,0.2020152303124753,0.03728729262948031,0,0.0
ALL,ALL,full_record,6107,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
ALL,ALL,shortest_stable_all,6107,0,0.0,142.37,111.18,147.005,0.9522998227380634,0.9658840438515216,1.0,1,0.016374652038644178
ALL,ALL,shortest_stable_no_catalog,6107,0,0.0,142.37,111.18,147.005,0.9519985224438756,0.9657614582164024,1.0,1,0.016374652038644178
