dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999999999960953,0.9999565607830776,108.35
InstanceGM,low_magnitude_background,product_spectral_safeguard,1.0,300,0,0.0,0.999999753271491,0.9985639821518333,0.9851684324223029,108.35
InstanceGM,low_magnitude_background,product_spectral_safeguard,3.0,300,0,0.0,0.9998972184714747,0.978578013352631,0.9624290627082304,108.35
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.999999999496671,0.9999997823846676,75.39
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,1.0,300,0,0.0,0.9999998224137568,0.9991221369000961,0.9690349163242146,75.39
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,3.0,300,0,0.0,0.9997873889434576,0.9761322789935607,0.9588210786283375,75.39
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.999999978727738,0.9999850564442135,65.915
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,1.0,300,0,0.0,0.9999999854312254,0.9996453454510817,0.9904481929086751,65.915
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,3.0,300,0,0.0,0.9999666738261079,0.9869675228667666,0.9684573607314675,65.915
K-NET,low_magnitude_background,product_spectral_safeguard,0.2,21,0,0.0,1.0,0.9999995927760116,0.9999995509314097,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,1.0,21,0,0.0,1.0,0.9997605397761749,0.9993110306232728,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,3.0,21,0,0.0,1.0,0.989857610275468,0.9852140707511243,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999989810696236,0.9999634811136973,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,1.0,300,0,0.0,1.0,0.9971919472585824,0.9922812681938511,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,3.0,300,0,0.0,1.0,0.9751276811954178,0.9630944874067153,60.0
K-NET,m4plus_strong_motion,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999999543648033,0.999977509368462,41.894999999999996
K-NET,m4plus_strong_motion,product_spectral_safeguard,1.0,300,0,0.0,1.0,0.9994567804534634,0.9974927144060822,41.894999999999996
K-NET,m4plus_strong_motion,product_spectral_safeguard,3.0,300,0,0.0,1.0,0.973974962833839,0.9545497292602817,41.894999999999996
InstanceGM,ALL,product_spectral_safeguard,0.2,900,0,0.0,1.0,0.9999999982343456,0.9999951911965014,91.36500000000001
InstanceGM,ALL,product_spectral_safeguard,1.0,900,0,0.0,0.9999999332255665,0.999208926097038,0.9852484494800647,91.36500000000001
InstanceGM,ALL,product_spectral_safeguard,3.0,900,0,0.0,0.9999120533148731,0.979034319433047,0.9622489442911579,91.36500000000001
K-NET,ALL,product_spectral_safeguard,0.2,621,0,0.0,1.0,0.9999995109521166,0.9999697759415606,59.0
K-NET,ALL,product_spectral_safeguard,1.0,621,0,0.0,1.0,0.998259445483927,0.9931193547231382,59.0
K-NET,ALL,product_spectral_safeguard,3.0,621,0,0.0,1.0,0.9748907911478152,0.9591904454643972,59.0
ALL,ALL,product_spectral_safeguard,0.2,1521,0,0.0,1.0,0.999999938869767,0.9999780051857265,66.59
ALL,ALL,product_spectral_safeguard,1.0,1521,0,0.0,0.9999999976753784,0.9986799752092024,0.9880345972619761,66.59
ALL,ALL,product_spectral_safeguard,3.0,1521,0,0.0,0.999986282220429,0.977280514421358,0.9602934453976611,66.59
