dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
InstanceGM,low_magnitude_background,300,63.66666666666667,25.666666666666664,10.666666666666668,108.35,117.1575
InstanceGM,m3_to_m4_small_event,300,72.33333333333334,22.0,5.666666666666666,75.39,108.8325
InstanceGM,m4plus_strong_motion,300,74.66666666666667,23.666666666666668,1.6666666666666667,65.915,98.94500000000001
K-NET,low_magnitude_background,21,9.523809523809524,23.809523809523807,66.66666666666666,60.0,60.0
K-NET,m3_to_m4_small_event,300,30.0,16.0,54.0,60.0,119.0
K-NET,m4plus_strong_motion,300,53.0,15.0,32.0,41.894999999999996,70.8725
InstanceGM,ALL,900,70.22222222222221,23.77777777777778,6.0,91.36500000000001,109.98
K-NET,ALL,621,40.41867954911433,15.780998389694043,43.80032206119163,59.0,119.0
ALL,ALL,1521,58.05391190006575,20.51282051282051,21.43326758711374,66.59,111.02
