dataset,priority_group,records,primary_pct,arias_escalation_pct,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec
InstanceGM,low_magnitude_background,9000,53.6,34.37777777777778,12.022222222222222,109.99,120.0
InstanceGM,m3_to_m4_small_event,9000,66.24444444444444,27.266666666666666,6.488888888888889,78.505,108.89
InstanceGM,m4plus_strong_motion,5533,72.63690583770106,25.085848545093075,2.277245617205856,70.89,102.66
K-NET,low_magnitude_background,21,9.523809523809524,23.809523809523807,66.66666666666666,60.0,60.0
K-NET,m3_to_m4_small_event,5647,21.905436514963696,23.215866831946165,54.87869665309013,60.0,119.0
K-NET,m4plus_strong_motion,15473,49.70593937827183,19.472629742131456,30.82143087959672,46.63,70.0
InstanceGM,ALL,23533,62.911655972464196,29.473505290443207,7.614838737092594,96.54,111.69
K-NET,ALL,21141,42.24019677404096,20.476798637718176,37.28300458824086,54.01,98.71
ALL,ALL,44674,53.129336974526574,25.216009311904013,21.654653713569413,65.17500000000001,111.57
