dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,product_spectral_safeguard,0.2,9000,17,0.18888888888888888,1.0,0.9999999999369803,0.9999862428594697,106.69
InstanceGM,low_magnitude_background,product_spectral_safeguard,1.0,9000,189,2.1,0.9999993736828151,0.9880583466556248,0.9259495280504396,106.69
InstanceGM,low_magnitude_background,product_spectral_safeguard,3.0,9000,657,7.3,0.9996206347947922,0.9346200494089429,0.9071261371202036,106.69
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,0.2,9000,2,0.022222222222222223,1.0,0.9999999949520292,0.9999879628132218,66.84
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,1.0,9000,104,1.1555555555555554,0.9999997351606589,0.9988714766255048,0.9452012510913655,66.84
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,3.0,9000,540,6.0,0.999510609497605,0.9431383061724614,0.9099682382164744,66.84
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,0.2,5533,0,0.0,1.0,0.9999999749190077,0.9999825855773103,66.47
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,1.0,5533,50,0.9036688957166094,0.999999974940915,0.9994217888197204,0.9553027693211665,66.47
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,3.0,5533,262,4.735225013555033,0.9999433589703492,0.9533764960049252,0.9157854381674998,66.47
K-NET,low_magnitude_background,product_spectral_safeguard,0.2,21,0,0.0,1.0,0.9999995927760116,0.9999995509314097,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,1.0,21,0,0.0,1.0,0.9997605397761749,0.9993110306232728,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,3.0,21,0,0.0,1.0,0.989857610275468,0.9852140707511243,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,0.2,5647,0,0.0,1.0,0.9999992883297514,0.9999544113331895,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,1.0,5647,13,0.23021073136178502,1.0,0.9967356944756983,0.987006523861446,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,3.0,5647,381,6.746945280680007,1.0,0.9388756331046105,0.9091522226899633,60.0
K-NET,m4plus_strong_motion,product_spectral_safeguard,0.2,15473,0,0.0,0.9999999999999992,0.9999998635560403,0.9999715177152825,34.34
K-NET,m4plus_strong_motion,product_spectral_safeguard,1.0,15473,108,0.6979900471789569,0.9999991375658014,0.9987531193416586,0.9733284040907189,34.34
K-NET,m4plus_strong_motion,product_spectral_safeguard,3.0,15473,707,4.569249660699282,0.9999137106969674,0.9532818680270735,0.9138976898176031,34.34
InstanceGM,ALL,product_spectral_safeguard,0.2,23533,19,0.08073768750265584,1.0,0.9999999957386323,0.9999849705092261,88.26
InstanceGM,ALL,product_spectral_safeguard,1.0,23533,343,1.4575277270216291,0.9999998031569852,0.997086083480473,0.9354319410590552,88.26
InstanceGM,ALL,product_spectral_safeguard,3.0,23533,1459,6.199804529809204,0.9997277608759272,0.9416215121534054,0.908918606754794,88.26
K-NET,ALL,product_spectral_safeguard,0.2,21141,0,0.0,1.0,0.9999997212487136,0.9999678346729942,38.87
K-NET,ALL,product_spectral_safeguard,1.0,21141,121,0.5723475710704319,1.0,0.99813319398963,0.9790846597950088,38.87
K-NET,ALL,product_spectral_safeguard,3.0,21141,1088,5.146397994418429,1.0,0.9489961393783972,0.912583572162131,38.87
ALL,ALL,product_spectral_safeguard,0.2,44674,19,0.04253033084120517,1.0,0.999999932167563,0.9999742805491897,60.0
ALL,ALL,product_spectral_safeguard,1.0,44674,464,1.038635447911537,0.9999998877684999,0.9978387575836205,0.9488403195112778,60.0
ALL,ALL,product_spectral_safeguard,3.0,44674,2547,5.70130277118682,0.9998612780867232,0.9450415356286626,0.9105486051437315,60.0
